id,characteristic,known_variations,number_of_users,number_variations
328,Do You Have Lucid Dreams?,"['Yes, many times per year', 'Yes, occasional', 'No', 'Yes, but rarely', 'Yes, at least several times a week', 'Only once', 'Yes, only a few times ever']",136,7
697,Highest Education,"[""Bachelor's degree"", 'Masters degree', 'Some college- no degree', 'Phd', 'Associates degree', 'Some graduate school', 'Got ged', 'Architectural technology associates degree ,undergraduate bachelor of arts major in design history', 'Gymnasium, degree', 'Licenciate degree (bologna treaty)', 'Vocational school', 'Highschool diploma', 'Graduate diploma']",134,13
142,Eye with Blue Halo ,"['No', 'Yes', 'N/a', 'Blue- green', 'Aqua-blue', 'Dark blue eyes with white halo around iris', 'Hazel with some blue']",132,7
286,Pale ,"['Medium', 'Medium light', 'I have very light skin', 'Pale', 'Tan', 'No', 'Very fair neutral undertone ', 'Porcelain', 'Very fair, freckles']",131,9
349,Artistic Talent,"['Talented ', 'None', 'Very talented', 'Charc', 'Decent', 'A bit']",131,6
179,Brachydactyly,"['Type d, clubbed thumb, one hand', 'No', 'Sorta', 'Unilateral type c  ']",130,4
171,Rheumatoid Arthritis,"['No', 'Rs6457617', 'Yes', 'Juvenile rheumatoid arthritis', 'No, but one of my parents has it', 'Yes diagnosed moderate with rs6457617 t,t version', 'Suspected but not officially diagnosed. multiple autoimmune snps including rs6457617(c;t)', ' yes i have been diagnosed with rheumatoid arthritis. ']",129,8
136,Anorgasmia,"['N/a', 'Na', 'Male — difficult achieving orgasm while taking ssris', 'No', 'Female - not anorgasmic', ""Sometimes - don't take ssris"", 'Very orgasmic', 'Difficulty achieving orgasm while taking ssris', 'Usualy', 'Male if drunk-', 'Male - situational', 'Female-very rarely orgasmic. can get to the point but only stay in the about to orgasm stage. ', 'Transfeminine - possibly bottom dysphoria or social anxiety']",128,13
338,The Dress: Perception of colour,"['Blue and dark gold', 'Blue and black', 'White and gold', 'Other', 'Light blue and dark gold', 'Varies by computer.', '...........']",128,7
212,No headaches EVER,"['No', 'False', 'Yes', 'I have migranes', 'Headaches here...and how is that even possible ', 'No headaches for last 25 years', 'Очень редко, на погоду', 'Very rare']",128,8
106,head form,"['High forehead, wide mid-face', 'Forehead rather large', 'Squarish face, medium headed', 'Hyperbrachycephal', 'Mesocephalic / mesaticephalic', 'Oval', 'Small head/ square-round face', 'Small head/heart shaped face', 'Long', 'Normal', 'High forehead, long oval face', 'Mri shows mishaping, with more mass on left side of head. also have problems with fluid accumulation on left side of body. big problem with left ear & left eye possibly r/t fluid retention on left side', 'Round face', 'Cromagnon forehead, brow protrudes', 'Banana']",127,15
229,Do you have dust-mite allergies,"['Yes- i have dust mite allergies', 'No- i do not have dust-mite allergies ', 'No', 'Yes  i have dust mite allergies']",127,4
123,erectil disfunction ,"['N/a', 'No', 'Yes', 'Type ii', 'Female', 'Type ii on antiandrogens and estrogen, otherwise no']",126,6
240,Erythromycin allergy,"['No', 'Yes', 'No idea', 'Erythromycin is the only drug allergy: come up in itchy hives.', 'Possibly ']",126,5
272,Rh Factor: A Positive,"['Cutis black, black hair', 'A+', 'No', 'O+', 'B-', 'A-', 'What is this???', 'Ab+', 'O negative', 'Positve', 'Positive', 'Ab-']",126,12
156,Cramps,"['Leg, menstrual or stomach?  the question is too vague.', 'Monthly', 'Rarely', 'Foot cramps!', 'Very bad when young, not now', 'Weekly', 'Never', 'Semi-annually, usually foot arch', 'Leg, foot intermittently and abdominal daily', 'Quads, bi-anually', 'Severe menstrual til about 18, legs toda', 'First few periods, then never again.', 'Calf and hamstrings about once a week', 'Very bad before my hysterectomy ', 'Severe menstrual']",126,15
494,Mother's eye color,"['Brown', 'Blue-grey', 'Blue-green', 'Hazel', 'Blue', 'Grey', 'Heterochromia - blue/green', 'Green', 'Heterochromia -blue with yellow stripes which makes them look green depending on the light or my mood.']",125,9
348,Nationality,"['European', 'No nations, no borders, no gods, no masters', 'Italian', 'Swiss', 'Prc', 'Mixed race', 'El salvador', 'Us', 'Somali', 'Romanian', 'Turkish', 'English', 'Brazil', 'American', 'Indian', 'Swede', 'Finnish', 'Spaniard', 'Hungarian', 'Русская', 'European-american', 'Ukrainian', 'German', 'Usa']",125,24
356,Ear Infections In Childhood,"['Never', 'Frequent', 'Yes', 'Seldom', 'Dont know was to busy being beat,and wishing i was dead']",125,5
420,Night Owl/Early Bird,"['Night owl', 'Ambivalent', 'Early bird', 'Both']",122,4
335,Red Hair,"['Have it and carry it', 'No', 'Red highlights', 'Red hair carrier (rr)', 'Redhaired all over in youth, now red moustache and pubic hair', 'None, but a carrier', 'Non-carrier (rr)', 'Yes', 'A small number of random red hairs but overall non-redhaired, and a carrier', 'Slight red-highlights in the right light, have red-headed bio-child', 'Val60leu', 'Red undertones; carrier']",122,12
234,ALS,"['Rs3825776', 'No', 'Dont know', 'A family member had als']",122,4
330,Do You Suffer From Agoraphobia?,"['Yes', 'No', 'Somewhat', 'In the past']",121,4
376,Hair colour,"['Brown', 'Blond grey', 'Dark blond', 'Black', 'Dark brown almost black', 'Dark auburn', 'Blond', 'Red', 'Dark brown', 'Light brown']",121,10
327,Sensitivity to Mosquito Bites ,"['Normal', 'Extreme reaction', 'Moderate reaction', 'None', 'As child moderate, as adult none']",119,5
325,Sleep Disorders,"['Insomnia', 'Insomnia, narcolepsy /w cataplexy, narcolepsy /wo cataplexy, idiopathic hypersomnia, parasomnias, sleep apnea', 'Sleep paralysis', 'Parasomnia', 'No', 'Delayed sleep phase syndrome', 'Multiple', 'Idiopathic hypersomnia', 'Sleep apnea', 'Advanced sleep cycle or ""lark"" early to bed, early to rise', 'Insomnia, sleep paralysis and sleep apnea', 'Restless leg syndrome', 'Narcolepsy but i may be a short sleeper?', 'Insomnia, restless leg, and sleep apnea ', 'Insomnia and circadian rhythm sleep disorder', 'Non-24-hour sleep-wake disorder']",119,16
167,Asparagus Metabolite Detection,"[""Can't smell"", 'Yes', 'Ag', 'Gg - but... i can smell it', ""Don't know""]",119,5
491,Curiosity and love of research,"['Very much; obsessive, really', 'Curious', 'Yes', 'High', 'Average']",117,5
260,double jointed thumbs,"['Yes', 'No', 'The end halfs yes']",116,3
30,Woolnerian Tip (Darwin's Tubercle),"['Left ear', 'Both ears', 'False', 'No tips', 'No', 'Right ear not sure about left', 'Right ear', 'Mildly on one ear?']",115,8
44,Diego Blood Group,"['Di(a-b+)', 'Have no idea', 'Rs2285644', 'What the hell?', 'Yes', 'Wtf?']",115,6
187,MethyleneTetraHydroFolate Reductase (MTHFR),"['Rs1801133 c/t', 'Normal gg', 'Rs1801133 t/t homozygous', '1298ac', 'No idea', 'C667t homozygous mutation', '1298 homogeneous', 'Mthfs rs6495446', '2 polymorphisms a1298c/c677t', 'Heterozygous c677t', 'Rs1801133 ag', 'Rs1801133 aa', ""That's a genotype, not a phenotype.  and an advertisement apparently."", 'A1298c homozygous both parents', 'Heterozygous a1298c', 'Compound heterozygous']",114,16
41,SAT Writing,"['750', 'Tested before 2005', '800', 'Country with no sat', 'N/a', 'Never & have ba & above', '720', ""Did well - don't remember score"", '511', '760', '780', '700', 'Not part of sat when i took test in august 1967 at uiuc', 'Not part of sat in 1961', '620', '560']",113,16
217,Personality Disorder test - top result,"['None', 'Depression', 'Ocd add asd', 'Adhd', 'Schizotypal', 'Aspergers', 'Paranoid +', 'Ocd', 'Depression add aspergers panic disorder', 'Avoidant', 'Anxiety', 'Prob 3 or more of them', 'Multiple anxiety disorders, depression, chronic insomnia', 'Anxiety, ocd, bipolar 1 wo psychosis', 'Obsessive-compulsive', 'Antisocial', ""-paranoid (i'm not, but i am schizoid (2nd result)"", 'Passive aggressive, paranoid ', ""Rs53576 aa my dogs & husband love me, that's about it."", 'Antisocial and cold', 'Obsessive-compulsive+', 'Borderline', 'Avoidant+']",113,23
180,Foot length,"['11.5""', '10""', '13""', '8""', '11""', '8 1/2""', '8 1/4""', '10 1/4""', '9 3/4 ""', '27cm', '9""', '9.5""', '10.5""', '10 3/4""', '15""', '12""', '7.5""', '11 13/16 or size 13 us', 'Size 9 us womens', '28.5 cm', '12.5""', '22 cm']",112,22
42,ENTP,"['Risk taker, easy going, outgoing, social, open, rule breaker', 'Enfp', 'Estj', 'Intp', 'Intj', 'Entj', 'Isfj', 'Not entp', 'Entp', 'Enfj', 'Esfn', 'Infj', 'Infp', 'Intp the p is weak at 51%', 'Do not know', 'Istj']",111,16
161,Purposefulness ,"['Purposeful', 'No', 'Sporadically purposeful', ""Don't understand the question"", 'Very purposeful', 'Mind wanders constantly, little spatial awareness ']",111,6
363,MBTI (Myers Briggs) Type,"['Intp', 'Enfp', 'Intj', 'Infp', 'Infj', 'Isfp-a', 'Istp', 'Entp', 'Isfj', 'Enfj-t', 'Istj', 'Istj-а', 'Istj-t', 'Auto-completion', 'Enfj', ""No idea but i don't like speaking to people i don't know"", 'Entj', 'Intj-а']",111,18
239,Nickel Dermatitis,"['No', ""Don't know"", 'Yes', 'Had as a child, went away as an adult.', 'Not personally; my daughter has it', 'Probably', 'Sometimes']",110,7
95,Eurogenes,"['Baltic/mediterranean', 'Code: se10', 'Have no idea', 'Fr 13', 'Unknown', 'Us8', 'Hr01', 'H6', 'H1g', 'L0a1a(92.7%) haplogroup with following markers in path from rcrs to haplogroup: h2a2a1 all the way back to h->hv->r0', 'H3', 'R1b1b2a1a2f', 'British/irish', 'H5a1', 'H1h1', 'H16', 'Ydna: i2a2a (i-z2054)', 'Mediterranean farmer:41,10%, baltic hunter gatherer:33.23%, middle eastern herder:8.27%, anatolian farmer:5.63%, bantu farmer:3.55%, east african pastoralist:3.04%, south american hunter gatherer:2.41%, south asian hunter gatherer:1.09%', 'H5a6', 'Hv2a', 'T2b2', '15% european (british/irish/french)', 'Mediterranean farmer 47.93% baltic hunter gatherer 35.03% anatolian farmer 8.55% middle eastern herder 5.46% east african pastoralist 1.57% oceanian hunter gatherer 0.83% south asian hunter gatherer 0.63%', '1 north_atlantic 49; 2 baltic 22 ; 3 west_med 15 ; 4 west_asian 4.7 ; 5 east_med 4.3 ', 'T2c1', 'S15510 r-y7374', 'R1b1b2a1a paternal t2 maternal', 'H5a1a', 'H1g1', 'I1', 'Rl-165', 'H11']",110,32
296,Skintype,"['Fair', 'Mediterranean', 'Cream (skintype 3)', 'Skin type 2', 'Very fair; no melanin in some areas', 'Fair yet tans easily', 'Brown, tan easily', 'Бледный']",109,8
287,dark Blonde,"['Dark blonde/light brown', 'Light brown', 'Medium brown', 'No', 'Rs1667394', 'Reddish medium brown', 'Dark blonde ', 'Black', 'Toe head until 5', 'Medium to dark brown', 'Blonde until my first pregnancy', 'Very light blonde as child to med brown as adult', 'Red/blond/brown']",108,13
271,Raynaud's,"['I have symptomes', 'I have no symptomes', 'No', ""Fingers/hands turn blue but not blanched like true raynaud's"", 'Fingers/toes turn white, but not after moving to a warmer climate', ""Diagnosed with raynaud's"", 'Only on bottom of feet on cold surfaces?']",107,7
214,congenital talipes equinovarus (CTEV),"['No', 'Yes']",107,2
122,apthous in mouth tendency,"['Rare', 'Never', 'Often', 'Sometimes', 'When i was young, not now', 'So you want me to  answer your ??? go hunt the answers come on please', 'Exclusively after eating wheat', 'If this is aphthous, then yes, w/acidic food', 'Exclusively after eating pineapple']",107,9
354,Dyscalculia,"['Yes', 'Yes, mild', 'No', 'No, math minor in college', 'Rs3744020(a;a)']",106,5
488,Cigarette/Cigar Smoker,"['Yes', 'No', 'No / never', 'Cigarette', 'Quit cigarettes 40 years ago', 'Yes. but now a vaper', 'Quit 6 years ago.', 'Quit smoking 20 years ago', 'Vaper, nicotine improves cognitive', 'Muy boquito fuma y vapor', 'Quit after 20+ years of smoking', 'Quit smoking 33 years ago', 'Quit after 10 years of smoking', 'Occasionally pipe or hookah tobacco']",106,14
284,Homophobia - Questionnaire Result,"['Bisexual', '9', '11', ""I am not hetersosexual. i'am only attracted to my men and i am a female."", '35', '2', 'Hetersosexual.not gay at all', 'Not at all homophobic', '4', '8', '15', '13', '18', 'I´m gay !!!', 'High-grade non-homophobic', '26']",106,16
281,A+,"['Caucasian', 'No', 'A1', 'A+', '0+', 'Blonde', 'A2b+', 'A-', 'Native american', 'O-', 'O+', 'I am b+ my mother was ab+ my dad was o+ now stop with the blood type questions. ', 'B+', 'Ab+', 'Maybe but probably o']",105,15
266,Am I a duck?,"['Member of the duck species', 'Goose', 'Swan', 'Kwak', 'No', 'Not funny', 'Axolotl ', 'Platypus']",104,8
251,Large tonsil crypts and tonsil stones,"['Yes', 'No', 'Do i look like a dr????', 'Tonsils removed as a child', 'Yes, that is why they were removed']",104,5
262,Seborrhoeic Dermatitis,"['Mild', 'Yes', 'No', 'No, but several family members']",103,4
45,Metabolic Syndrome [MetS],"['Diagnosed', 'Undiagnosed', 'Not diagnosed, no symptoms', 'No', 'Rs17300539(a;g)', 'Rs17300539 gg', 'High blood pressure, low hdl', 'Not diagnosed but fit the criteria (symptomatic).', 'Most but not all criteria.', 'Undiagnosed - sure']",103,10
399,maternal or mTDNA  haplogroup,"['H2a5', 'A2', 'H', 'J1c2', 'H1', 'U5b1', 'B5a1a', 'H18', 'X2m', ""Don't know"", 'H5a1', 'M1a3a', 'T2b', 'U3a1', 'B2d', 'V7a', 'H8', 'H3ao', 'J1c1b1a', 'X2g', 'K', 'L2a1l2', 'H5b1', ""U3a'c"", 'U5a1', 'H2a2a1', 'C5c1a', 'U4c1', 'K1c2', 'H3ap', 'W5a2b', 'V', 'H3k', 'U5b2a1b', 'J2a2', 'H1c3', 'This is a genotype, not a phenotype', 'T2b7a2', 'I3c', 'U4c2a', 'T2', 'K1a1b1a', 'V6', 'L2a1i', 'Pre-hv', 'H23', 'U6a3', 'C1b2', 'U2e1', 'Hv6', 'H5a1a', 'H6a1b3', 'K1a4a1a', 'Auto-completion', 'H2a5b2', 'K1c1b', 'J1c1', 'R8a1a3', 'J2', 'H17b', 'X2b4', 'L2b2', 'H35', 'U4a2', 'L2a1c1', 'H11a', 'H18b', 'H3a', 'J1c3', 'B2c', 'B2', 'H7a1a ']",102,72
225,Chest Pain on Ritalin,"[""Don't know, have never taken ritalin"", 'Strong chest pain', 'No, and i have taken it for years', 'No', 'Mild chest discomfort ', 'Yes', 'N/a']",102,7
401,Affinity to Cannabis,"['Casual user', 'Regular', 'Non-user, one-time user, casual user (those who used it in the past year), regular users (those who used it in the past month), chronic users (those who have used it in the past week or more frequently)', 'Only in high school.', 'Non-user, tried but dislike', 'Non user, tried but every time i did i became paranoid and tripped like mushrooms or lsd.  terrible', 'Helps with chronic pain, nausea, insomnia, and headaches more than medications', 'Rare user depends on strain', 'Non .. affinity to cannabis!', 'No noticeable drug response', 'Horrible! extreme anxiety/depression', 'Non-user, never tried', 'Would be regular +++ affinity']",102,13
454,Eye pigmentation ,"['Brown', 'Hazel light green', 'Blue', 'Rs16891982gg', 'Green', 'Changes blue/green/grey', 'Hazel dark green', 'Heterochromia ', 'Dark blue', 'Eye color what do you think', 'Hazel/yellow', 'Light gray blue', 'Blue-grey', ' green brown', 'Hazel green', 'No', 'Hazel']",101,17
178,Have ME/CFS,"['No', 'Yes', 'C677t', 'Idiopathic hypersomnolence']",99,4
220,MSG tastes...,"['Good', 'No taste', 'Bad', 'I avoid msg like the plague even though its in many foods naturally therefore not disclosed', ""I don't eat msg"", 'I dont know anuyjomg about msg only hear it on news', 'Initially pleasant, bad aftertaste', 'My feet swell when i eat msg, so i stay away from it.', 'I get really thirsty', 'Tingling sensation over the whole tongue', 'Like salt', 'What is msg']",97,12
326,Easiness to navigate/orientate,"['Low', 'Average', 'High', 'High normally, soon lost in i.e. hospital', 'Below average ', 'Never lose my way']",97,6
386,Sensitivity to smell,"['High', 'High ', 'Average to low', 'Very low except to petroleum chemicals', 'Lost sense of smell at 22 years', 'Some', 'Variable', 'Lost sense of smell at 26 years', 'Yes, i have extreme ability to smell what i am allergic to (ex. horse in nyc, mold upon entering a home that no one else can smell']",97,9
209,Female Pattern Baldnes,"['N/a', 'No', 'Genetic', 'Thinning on top', 'Im a man with full head of hair ', 'Thinning on top, bald spot at crown', 'Widows peak', 'Im a man']",96,8
199,ASMR,"['Yes', 'No', 'Yes, 00, no, 01', 'Unknown']",96,4
172,R1b1a2a1a1b,"['No', ""I'm a female"", 'R1b1b2a1a2f', 'R1b1b2a1a2f*', 'R1b1a2a1a1b*', 'R1b1b2a1a1d', '?????? you ask me to upload my file here you should know the fucking answers', 'R1b1b2a1a2d', 'R1b1b2a1a', 'R1b1a2a1a1c2b2a1', 'R1b1a2a1a1c2b1', 'R1b1b2a1a2b', 'R-z16270', 'I do not know', 'R1b1a1a2a1a1c2b1', 'R1b1a2a1a2c1f2', 'No am i1']",96,17
486,Cocaine addiction,"['No, never', 'No, but did enjoy it in the past', 'No', ""I'm not a coke head or a regular user but i do prefer amphetamines as my drug of choice. ""]",95,4
278,Prone to Cysts,"['Yes', 'None', 'Ovarian', 'No', 'Yes spermatocele']",95,5
258,Income Range?,"['$50k', '$30k', '$60k', '$100k', '80k', '0000.0000k', '$140k', '$20k', '$175k', '$70k', 'This is not a snp ', '$40k', '$0k', '<$10k', '$120k', '$150k', '$210k', 'Smile and appreciation! ;)', 'Rs10429582(t;c)', '>average', 'Still live with my parents, who make about $100,000']",94,21
485,Alcoholism,"['Yes', 'None', 'N/a', 'High enjoyment,not compulsive and able to quit', 'Father was full-blown alcoholic, struggle with overindulgence. able to avoid for long periods of time but takes larger amounts of will power than is probably normal or ideal.', 'No', 'Alcohol dependence']",94,7
351,Female with Ring Finger longer than Index Finger,"['Yes', 'No', 'N/a (male)', 'Only on left hand']",93,4
221,Broad face,"['No', 'Broad face']",93,2
487,Heroin addiction,"['No', 'Rs9291211, rs12461856', 'Yes, iv', ""No, tried opiates but don't care for them at all."", ""Can't take any opiates they make me vomit repeatedly""]",92,5
499,hair color,"['00', 'Blond as child. started turning dark brown after puberty', 'Light brown', 'Black', 'Dark brown', 'Blond', 'Brown', 'White as child. slowly darkened after age 3, golden by puberty, beige by 20s', 'Reddish brown', 'Dark blonde', 'Blonde', 'Red']",92,12
331,ABO Rh,"['A+', 'A-', 'Rs8176719(d;d) rs8176746(c;c)', 'O+', 'Unknown', 'B-', 'B+', 'O-', 'Ab-']",91,9
288,"Gray eyes,fair skin, dark blonde, o- blood","['Dark blonde. 0-,', 'Medium brown hair, hazel eyes, fair skin, o+', 'Blue green eyes, fair, dark blonde, b-', 'Dark brown hair, blue eyes, o+', 'Brown eyes brown hair tan skin', 'No', 'Medium brown hair, hazel eyes, fair skin, ab+', 'Medium brown hair, hazel eyes, fair skin, a+', 'Dark blonde, fair skin, blue/gray eyes a+', 'Light blonde, green eyes, a+', 'Aqua-blue eyes, dark blonde hair, fair skin yet tans easily, o-', 'Green eyes, auburn, o+', 'Dark green/blue/gray eyes, med to dark brown hair, o-', 'Eyes that change color (blue, green, and gray), pale translucent skin, abo+ blood type ', 'Black hair, dark brown eyes, o+', 'Medium brown hair, blue eyes, fair skin, a-', 'Fair skin that tans, blonde/red hair/ blue-grey eyes, a-', 'Hazel eyes, med brown hair, o-', 'Dark hair, brown eyes, tan skin', 'Dark blonde, blue-green eyes, fair skin, b+', 'Blue eyes, brown hair, o+', 'Light brown hair,fair skin, blue/gray eyes a+', 'Natural redhead,fair skin, green eyes, o-', ' deep blue eyes, medium blonde hair, fair skin but tans easily, b+', 'Medium brown hair, hazel eyes, fair skin, b+', 'Blue green eyes, fair skin, black hair, o+', 'Dark brown hair, hazel eyes, fair skin, o+']",91,27
51,Kell Blood Group (K/k antigens)  ,"['K+k+', 'K-k+', 'Kp(a-b+)', 'Have no idea', 'Kp(a+b+)', 'O negative', ""I don't have this"", 'No idea', 'K-', 'Yes', 'Kel1']",91,11
5,Ability to find a bug in openSNP,"['Somewhat', 'Extremely high', 'Only creating bugs', 'Positive', 'Low ability', 'High', 'Low (desire to) ', 'Like the one that allowed this question?', 'C-c-combo breaker!', 'I need more coffee!']",90,10
285,Chronotype - Morningness-eveningness questionnaire (MEQ),"['Evening ', '37', '43', 'Morning person', 'Night owl w/ circadian disorder', '50', '41', '31', '51', 'Im the same all the time', '25', 'Moderate morning -64', '38 (moderate evening)', '75', '48', '45', 'Mild night owl', '74', 'Late eve/night', '52', '27', 'Mild night owl or very early morning']",90,22
370,Allergy to Hair Dye,"['None', 'Burns like hell, leaves scabs', 'Unknown', 'Sometimes allergic response', 'Developed allergy after >10 years of use']",90,5
355,Physical Aversion to Certain Foods,"['Vinegar and dairy', 'None', 'Tomatoes', 'Mayonaise', 'Raw oysters', 'Raw onion', 'Liver', 'Beets', 'Chardonnay', 'Meat', 'Garlic, dairy (allergy) & seafood', 'Anything slimy', 'Cauliflower', 'Brussels sprouts, liquorice', 'Seafood and and most meat', 'Sea food', 'Brussel sprouts, asparagus, seafood, meat, poultry', 'Asparagus', 'Only broccoli during pregnancy. normal otherwise', 'Milk with less than whole fat content', 'Baked beans', 'Many things! ', 'Semolina porridge, kissel, fried zucchini', 'Dill, buckwheat']",90,24
77,Penis Circumference at Glans,"['N/a', 'Large', '117mm', 'Porportional ', '15.5cm', ""I'm a female"", '11+ cm', '18cm', '10cm', '11.43', '14cm', '22cm', '15 cm']",89,13
143,Bone Mineral Density,"['Unknown', 'Normal', 'Osteopenia', 'No - rs4355801 ag;  rs3736228 cc', 'Strong, dense bones', 'Aa -at last bone density test normal', 'No', 'Very strong bones', 'Good']",89,9
59,Faktor 5 Leiden (F5),"['No', ""I don't know"", 'Yes heterozygot rs6025 ', 'No - rs6025 gg', 'Rs6025 a/g heterozygot', 'Yes homozygous cc', 'Rs6025 c,c', 'No, rs1800595(a;a)', 'This is a genotype, not a phenotype']",88,9
228,Enneagram Personality Type,"['N/a never took it', '4. romantic ', 'Type 7- enthusiast', 'Type 5 - thinker / masterful hermit', 'Type 1 - perfectionist / reformer ', 'Type 9', 'Type 4 level 5', 'Type 6 and 9', 'Type 8', '3.motivator', 'Type 5 - investigator', 'Type 4, level 8', 'Type 6 and 5', '2', 'Hermit introvert pessimist skeptic', '1and 9', 'Type 4 and 9', 'Type 9 type 6 type 5']",88,18
188,Cardiac Arterial Disease,"['Severe', 'No', 'Partly', 'Dont know', 'Yes', 'Yes, multiple, mild ', 'Structural abnormalities', '1st degree relatives have this']",86,8
129,Kidd Blood Group,"['Jk(a-b+)', 'Jk(a+b-)', 'Unknown', 'Jk(a+b+) ', 'Di(a-b+)', 'Do not know', 'Rs1058396 ag', 'Jk(-a-b)', 'Yes', 'Rs1058396 gg', 'Rs1058396 (a;a) most common to jk(a-/b+)']",86,11
515,introvert or extrovert,"['Introvert', 'Extrovert', 'Both', 'Ambivert']",85,4
414,"Allergy to Strawberries, Tomatoes, Citrus","['No', 'Yes', 'Tomatoes', 'No, f1 child to strawberries', 'Apples, pears, nuts', 'Maybe, slight', 'Allergic to strawberries as a child but not as adult.']",84,7
319,Walk in nature on the roads,"['Barefoot, prefer earth', 'On the roads', 'Off-road', 'Either/or', 'Will always choose a earth track over a paved path', 'Nature', 'Prefer an earthen path over pavement', 'If early morning dawn -walk in nature ']",84,8
544,Gap between front teeth,"['No gap', '2 mm, uncorrected', 'Corrected']",83,3
352,Allergy to artificial grape flavoring,"['No', 'Causes throat to itch and swell', 'Only itch me', 'Aversion']",83,4
213,Ear - darwin's tubercle,"['Not present', 'On left ear', 'Present', 'On right ear', ""Don't know""]",83,5
268,Retinitis pigmentosa,"['No', 'I dont know about that word but hell im getting there now', 'Unknown, have problems with eyes though', 'Suspect ']",83,4
252,Lipoma,"['2', 'None', '1 on arm', 'At least 2-4', 'Have some lumps under skin but dont know what they are', 'Truncal lipomatosi', '1', 'Multiple', 'Maybe ', 'In my heels', 'No']",82,11
293,Creutzfeldt–Jakob disease,"['Not present.', 'I submitted my dna here so you could tell me this shit', 'What?', 'No', 'Rs1799990(a;a) yes', 'No, but lived in europe during the 1980’s, so red cross has baned me for life from donating blood.']",81,6
78,CMV serostatus,"['Pos', 'Unknown', 'Have no idea', 'Neg']",81,4
153,Do hops taste like soap?,"['Yes', 'No', ""Don't eat them"", 'Not sure what hops are', 'Unknown']",81,5
484,Alcohol Consumption (per week),"['0', 'Rare', 'Rs1229984, rs144198753, rs13130794, rs1260326, rs11214609, rs13107325', '4', '14', '1', '2', '12', '14+', 'Rare ', '6', ""Rarely do but when it's readily available i'll partake and i'll binge drink if i'm really stressed out.  so i have alcoholic tendencies but i can cold turkey anything no problem.  "", '7']",81,13
314,Marfan Syndrome,"['Yes, possible', 'No', 'Rs137854475(c,t), rs61746008(g,a), rs25403 (c,c or g,g?), +many pathogenic deletions on fbn1', 'No, but diagnosed ehlers-danlos syndrome, a related connective tissue disorder', 'Yes, multiple snps, non-expressing', 'Marfanoid habitus']",81,6
47,Hypertriglyceridemia,"['Very high: 500 mg/dl or above', 'High ', 'Very low: 31 mg/dl on last test', 'No', 'Not diagnosed', 'Normal', 'Borderline high']",80,7
387,Reaction to poison ivy,"['None as of yet ', 'Mild', 'Severe', 'Unknown', 'None', 'Rash']",80,6
423,restless leg syndrome,"['Yes', 'Possibly', 'No', 'Sometimes, not constant. seratonin agonists can cause this in me']",80,4
509,adult a.d.d,"['No.', 'Diagnosed', 'Yes', 'Diagnosed, no, possibly']",80,4
263,You look like the flame of the fire?,"['I like', 'Very pale white', 'Thats stupid', ""I don't understand"", 'No', 'Really?', 'Yes', 'Average white skin dishwater blonde hair', 'Huh?', 'Dark skin']",80,10
135,Serotonin transporter,"['(g;g)', 'Aa', 'G;g', 'Rs25532 - gg / rs25531 - no call ', 'No idea', 'No call  but high pain tolerance', 'Short form of 5-httlpr. lower levels of serotonin, slightly less happy, benefits from more support', 'I have two long form of 5-httlpr', 'No call', 'Rs25532 g/g  less sensitive to pain', 'This is a genotype, not a phenotype.', 'Yes']",78,12
365,"Blood Type A1, Rh positive","['No', 'O+', 'O-', 'A+', 'No, a2b3 (cis-ab) rh negtive', 'A-', 'Ab+', 'Ab-', 'B+']",78,9
389,Resting Heart Rate ,"['89', '60', '52', '65-70', '0-200', '50-55', '58', '80 - 120', '72', '55', '80-90', '90', '66', '70-90', '71', '100', 'Dont know', '30-40bpm']",78,18
384,brown hair colour blue eyes,"['No', 'Brown hair brown eyes', 'Brown hair blue eyes', 'Brown', 'Brown hair green eyes', 'Blond hair green eyes', 'Blond hair blue eyes', 'Heterochromia ', 'Brown hair color hazel eyes', 'Caucasion', 'Caucasian', '2c/3a curly brown hair, green eyes with central heterochromia ']",76,12
366,glass eye,"['Depletion of eye', 'None', 'Wtf?', 'Not yet, serious eye problems though.', 'No', 'Not yet']",76,6
291,Age you had a heart attack,"['53', 'Na', 'Never', '40', '58', '68', 'None', '61', '36']",76,9
369,One Warrior Gene/One Non-Warrior Gene ,"['Yes', '3 repeats warrior variant', 'Rs6323, rs909525', 'No idea', 'Warrior all the way', 'Not a phenotype', 'No', 'Worrier', 'Yes but i want to choose ""not a phenotype"" so bad', 'No, rs909525 (a;a); probably maoa 4 or 5 repeats: not warrior gene', 'Scythian ', 'Mild', 'Rs4680 a/g', 'Worrier but have also rs6323 gg']",75,14
279,In both the large group of people is best for you ?for you ?,"['Several people', 'At work - many, at play - few', 'Intent of the question is not clear', 'I dont like many people', 'Hate groups', 'Aversion to come crowds and large groups', 'Aversion to crowds', 'Introvert but okay in crowds of strangers', 'Aversion to some crowds and large groups', 'Himself']",75,10
